# N Unoptimized_Comps Optimized_Comps
100 4950 2394
200 19900 16159
300 44850 24549
400 79800 69504
500 124750 66439
600 179700 171185
700 244650 207249
800 319600 301072
900 404550 335915
1000 499500 464784
1100 604450 334705
1200 719400 501270
1300 844350 657384
1400 979300 960190
1500 1124250 1116747
1600 1279200 1171784
1700 1444150 1224697
1800 1619100 969870
1900 1804050 1563579
2000 1999000 1718874
